Name,Korean,Category,Locality,Address,Confidence,NaverLink,Source
Protokoll,프로토콜,Cafe,"Sangsu / Hapjeong, Seoul",서울특별시 서대문구 연희로 109 2층,High,https://map.naver.com/p/search/프로토콜%20연희점,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Sami Coffee,사미커피,Cafe,"Jongno (near Dongdaemun), Seoul",서울특별시 종로구 종로41길 17 1층,High,https://map.naver.com/p/search/사미커피,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Perception Coffee,퍼셉션 커피,Cafe,"Hapjeong, Seoul",서울특별시 마포구 어울마당로1길 16 1층,Check,https://map.naver.com/p/search/퍼셉션%20합정,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Coffee Nap Roasters,커피냅 로스터스,Cafe,"Yeonnam-dong, Seoul",서울특별시 마포구 성미산로27길 70,High,https://map.naver.com/p/search/커피냅로스터스%20연남동,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Upstanding Coffee,,Cafe,"Yongsan, Seoul",서울특별시 용산구 신흥로 99-11 Upstanding Coffee,Check,https://map.naver.com/p/search/업스탠딩,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Kotton.Seoul,코튼서울,Cafe,"Insadong, Seoul",서울특별시 종로구 인사동12길 17 1층 코튼서울,High,https://map.naver.com/p/search/코튼서울,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Cafe 1 In 1 Jan,,Cafe,"Jingwan-dong, Eunpyeong-gu, Seoul (Eunpyeong Hanok Village)","534 Yeonseo-ro, Jingwan-dong, Eunpyeong-gu, Seoul",Unresolved,https://map.naver.com/p/search/Cafe%201%20In%201%20Jan,https://www.instagram.com/reel/DUa1imDDZ1j/
Cafe Pokpo,카페폭포,Cafe,"Seodaemun-gu, Seoul",서울특별시 서대문구 연희로 262-24,High,https://map.naver.com/p/search/카페폭포,https://www.instagram.com/reel/DUa1imDDZ1j/
Cheongsudang Bakery,,"IKSON-DONG, Cafe","Ikseon-dong, Jongno-gu, Seoul",서울특별시 종로구 돈화문로11나길 31-9,Check,https://map.naver.com/p/search/청수당%20베이커리,https://www.instagram.com/reel/DXYh1CLD3Z8/
Antique Coffee,,Cafe,"Jamsil, Songpa-gu, Seoul",서울특별시 마포구 연희로 25-1 1층 앤티크커피,Check,https://map.naver.com/p/search/앤티크커피%20연남점,https://www.instagram.com/reel/DUa1imDDZ1j/
Cafe Onion (Anguk),,Cafe,"Anguk, Jongno-gu, Seoul","5 Gyedong-gil, Jongno-gu, Seoul",Unresolved,https://map.naver.com/p/search/Cafe%20Onion%20(Anguk),https://www.instagram.com/reel/DUa1imDDZ1j/
Thesogno,,Shopping,"Sinsa-dong, Gangnam-gu, Seoul (near Apgujeong Rodeo)",서울특별시 강남구 언주로172길 36 1층,Check,https://map.naver.com/p/search/더소뇨%20강남점,https://www.instagram.com/reel/DVlMCHcD_gR/
Hantangang Jusangjeolli Trail,,Choerwon,"Cheorwon, Gangwon-do",,Unresolved,https://map.naver.com/p/search/Hantangang%20Jusangjeolli%20Trail,https://www.instagram.com/reel/DYeRNiaCBkD/
Goseokjeong,,Choerwon,"Cheorwon, Gangwon-do",강원특별자치도 철원군 동송읍 태봉로 1825,Check,https://map.naver.com/p/search/고석정,https://www.instagram.com/reel/DYeRNiaCBkD/
Cheorwon Makguksu,,Choerwon,"Cheorwon, Gangwon-do",,Unresolved,https://map.naver.com/p/search/Cheorwon%20Makguksu,https://www.instagram.com/reel/DYeRNiaCBkD/
Skyline Luge Busan,,Busan,"Gijang-gun, Busan",부산광역시 기장군 기장읍 기장해안로 205,Check,https://map.naver.com/p/search/스카이라인루지%20부산,https://www.instagram.com/reel/DVV5CZtERq6/
Gyeongju,,Gyeongju,"Gyeongju, North Gyeongsang Province",경상북도 경주시 원화로 294,Check,https://map.naver.com/p/search/경주이주노동자센터,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
Hwangridan-gil,,Gyeongju,Gyeongju,경상북도 경주시 사정로57번길 7 외가,Check,https://map.naver.com/p/search/외가%20황리단길본점,https://www.instagram.com/p/DYJ7QeyEoD3/?img_index=6
